"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
"(4, 0, 2, 0, 0, 0)",44119.77764506167,347.66999999999825,,44118.787645061675,,,,,,,,,,,,44120.76764506167,,,0.029317481281007352,,,,,,,,,,,,0.024978231960707344,
"(4, 0, 0, 2, 0, 0)",44123.85264506168,351.7450000000026,44125.82764506167,,,44122.88764506167,,44123.747645061674,44122.86764506168,,,44123.98764506167,44123.80764506167,44122.787645061675,44124.90764506168,,,0.019097263630602754,,,0.026494903656760563,,0.0541819988095489,0.029773339975884144,,,0.01707475797372175,0.05649956703745309,0.044333674124908365,0.026947309794885067,,
"(4, 0, 1, 0, 0, 1)",44128.74193077596,356.6342857142881,,44127.747645061674,44127.72764506168,,44128.747645061674,,,44128.80764506167,44129.72764506168,,,,,44129.747645061674,44128.68764506168,,0.060118535096345176,0.02224984518179441,,0.05467704063060055,,,0.05408526308154444,0.02721077968158905,,,,,0.03607658433935809,0.03552581988134804
"(4, 0, 1, 1, 0, 1)",44143.31264506168,371.20500000000175,44141.80764506167,44143.86764506168,,,,44144.76764506168,,,,,,,,,44142.80764506168,0.01942520618728227,0.024437279789413034,,,,0.018867641378119485,,,,,,,,,0.020862756528302856
"(4, 1, 1, 0, 0, 0)",44147.90764506167,375.79999999999563,,,,,,,,,,44146.98764506167,44148.827645061676,,,,,,,,,,,,,,0.046193103157707714,0.011843426702391214,,,,
"(4, 1, 0, 1, 0, 0)",44150.747645061674,378.6399999999994,,,,,,,,,,,,,,44150.747645061674,,,,,,,,,,,,,,,0.025076023503472586,
"(5, 0, 0, 0, 1, 0)",44153.72764506168,381.6200000000026,,,,,,,,,,,,,,,44153.72764506168,,,,,,,,,,,,,,,0.025740641409600466
"(4, 1, 1, 1, 0, 0)",44163.88764506167,391.77999999999884,,,,,,,,,,44163.88764506167,,,,,,,,,,,,,,,0.03357236903093727,,,,,
"(5, 0, 1, 0, 1, 0)",44168.04264506168,395.93500000000495,,,,,,44168.787645061675,,44167.787645061675,,,44167.827645061676,44167.76764506167,,,,,,,,,0.04783598443849235,,0.015231162372758676,,,0.0384115796083475,0.03774512199549551,,,
"(4, 2, 0, 0, 0, 0)",44177.26764506168,405.1600000000035,,,,,,,,,,,,,,,44177.26764506168,,,,,,,,,,,,,,,0.03131973348158978
"(5, 0, 0, 1, 0, 0)",44187.309645061665,415.2019999999902,,44186.86764506168,44188.76764506168,44188.90764506167,44186.76764506167,44185.787645061675,44187.827645061676,44185.80764506167,,,44188.787645061675,44186.82764506167,,44186.747645061674,,,0.03510039343686108,0.016772497712784846,0.024940722195815338,0.03720006488776218,0.03934866467543088,0.031110704549791847,0.025209320901868927,,,0.0382424244546505,0.017489978068953877,,0.029481419329204298,
"(5, 0, 1, 1, 0, 0)",44201.11431172834,429.006666666668,44200.82764506167,,,,,,,,,,,44200.72764506167,44201.78764506168,,,0.016503853123140615,,,,,,,,,,,0.04273061579670024,0.027517657436961045,,
"(5, 0, 0, 2, 0, 0)",44204.46764506167,432.3599999999933,,44202.747645061674,44203.70764506168,44205.927645061674,44205.70764506167,44203.647645061676,44204.86764506168,44204.76764506167,44203.66764506167,,44205.72764506167,,,44203.70764506167,44204.66764506168,,0.0614214829033046,0.03414082733656299,0.043815603723262125,0.061264325322431756,0.030558096351102047,0.0377625173472534,0.07031694004867925,0.04386821978205401,,0.04244198703107672,,,0.04511697344149472,0.03314705078791672
"(5, 1, 0, 0, 0, 0)",44212.72764506167,440.61999999999534,,,,,,,,,,,,,,44212.72764506167,,,,,,,,,,,,,,,0.017542021701108565,
"(4, 3, 0, 0, 0, 0)",44218.70764506167,446.59999999999854,,44219.80764506168,,,,,,,,,,,,,44217.607645061675,,0.03541577588837501,,,,,,,,,,,,,0.04650608780284601
